ID,Country,Selfemp,gdp
1,그리스,36.9,21966
2,터키,35.9,10986
3,멕시코,33,10318
4,대한민국,27.4,25993
5,이탈리아,25,35477
6,폴란드,21.8,13829
7,포르투갈,21.7,21508
8,체코,17.9,19858
9,스페인,17.9,29881
10,아일랜드,17.1,50470
11,슬로베니아,16.9,23297
12,네덜란드,16.1,50793
13,슬로바키아,15.6,18050
14,뉴질랜드,15.2,42409
15,벨기에,15.1,46927
16,영국,14.4,41777
17,핀란드,13.4,49310
18,오스트리아,13.3,50513
19,이스라엘,12.6,36051
20,아이슬란드,12.5,47549
21,일본,11.5,38634
22,헝가리,11.3,13487
23,독일,11.2,46255
24,스웨덴,10.6,60365
25,스위스,10.4,84733
26,호주,10.3,67473
27,에스토니아,9.2,18877
28,덴마크,9,59819
29,캐나다,8.8,52305
30,노르웨이,7,102832
31,미국,6.6,52980
