company,brand,init_invest,fyear,sales,n_emp
제너시스BBQ,BBQ,302,20,355,343
BHC,BHC,81,11,215,144
DD F&B,DD치킨,41,12,158,17
마세다린,가마로강정,62,3,253,75
푸디노F&D,강정이기가막혀,39,7,151,37
신성유통,계동치킨,40,11,57,7
교촌F&B,교촌치킨,121,21,419,247
지앤푸드,굽네치킨,47,10,235,113
깐부,깐부치킨,105,9,449,74
대대FC,꿀닭,84,3,125,25
혜인식품,네네치킨,56,5,251,41
다사랑,다사랑,139,11,293,89
압구정,돈치킨,69,8,188,19
두리아,두리아,69,15,101,8
일동인터내쇼날,둘둘치킨,73,18,58,27
프랜푸드,땅땅치킨,101,11,285,69
농협목우촌,또래오래,41,12,122,97
해마로푸드서비스,맘스터치,46,14,280,73
맥시칸,맥시칸치킨,26,30,78,6
멕시카나,멕시카나,41,26,154,66
MN글로벌,못말리는파닭,53,8,209,15
보드람C&R,보드람치킨,92,14,198,5
정명라인,본스치킨,90,8,31,12
봉추푸드시스템,봉추찜닭,172,15,321,20
BK부어코리아,부어치킨,32,10,104,9
불로만,불로만숯불바베큐,173,17,65,20
올치FC,신통치킨,25,2,111,18
썬더치킨,썬더치킨,53,10,101,3
씨드트리,옛날장터치킨,33,4,136,8
계림F&C,오븐에꾸운닭,159,6,290,43
에땅,오븐에빠진닭,124,7,380,129
장모육계유통,장모님치킨,31,26,88,6
다울F&B,좋을:호 치킨하우스,80,6,346,10
지코바,지코바양념치킨,54,19,147,20
한국일오삼,처갓집양념치킨,32,13,132,30
육칠팔,치킨678,62,4,335,71
다인FC,치킨마루,43,10,183,36
코리아델로스케이디,치킨매니아,62,8,237,31
원우푸드,치킨뱅이,43,14,243,24
O&C웰푸드,치킨신드롬,38,12,146,14
TBBC,코리안바베큐,79,17,121,18
신라외식개발,티바두마리치킨,32,13,137,3
TS푸드앤시스템,파파이스,243,20,376,78
페리카나,페리카나,34,34,114,24
하산푸드시스템,핫썬치킨,82,11,139,32
호식이두마리치킨,호식이두마리치킨,22,16,328,43
훌랄라,훌랄라참숯바베큐,114,12,108,23
